Timestamp, Current1, Current2, Current3, Current4
3315922,-4,-4,-2,-3
3363965,-5,-1,-2,0
3411581,-4,4,-2,0
3459690,-6,5,-2,0
3507928,-6,13,-2,0
3556016,-5,20,-2,0
3603647,-4,30,-2,-1
3651956,-4,32,-2,0
3700143,-5,38,-2,0
3747960,-3,40,-2,0
3795879,-4,41,-2,0
3843731,-5,48,-2,0
3891833,-3,50,-2,-1
3939817,-3,56,-2,-5
3987942,-4,57,-2,-1
4035882,-3,63,-2,-5
4084147,-3,65,-2,-4
4131999,-3,70,-2,-3
4180009,-3,72,-2,-3
4227581,-4,72,-2,-9
4275779,-5,73,-2,-1
4323666,-7,83,-2,-2
4372043,-4,81,-2,-2
4419695,-3,88,-2,-2
4467886,-4,87,-2,-3
4515725,-3,95,-2,-6
4563812,-5,101,-3,-6
4611967,-5,95,-3,-15
4660204,-6,101,-3,-15
4708033,-4,107,-3,-20
4755866,-7,109,-3,-21
4803520,-4,112,-2,-24
4851814,-6,114,-2,-22
4899828,-5,117,-2,-32
4947721,-4,122,-2,-38
4995788,-6,126,-2,-40
5043690,-7,127,-2,-36
5091809,-7,134,-2,-34
5140095,-4,140,-2,-41
5188053,-5,140,-2,-38
5236223,-6,137,-2,-40
5283487,-8,145,-2,-43
5331770,-6,149,-2,-53
5379673,-9,139,-2,-51
5428087,-5,150,-2,-57
5475709,-7,155,-2,-51
5523766,-7,160,-3,-55
5571944,-8,164,-2,-64
5619663,-9,180,-3,-69
5667676,-7,175,-2,-77
5715839,-9,182,-2,-71
5763703,-6,165,-3,-72
5811920,-9,176,-4,-76
5859942,-9,184,-2,-74
5907568,-8,188,-3,-85
5955726,-8,184,-2,-81
6003674,-7,194,-4,-88
6051879,-9,195,-3,-91
6099970,-6,201,-4,-93
6147758,-8,206,-3,-90
6195626,-8,195,-4,-88
6243749,-6,190,-3,-81
6291646,-8,187,-5,-73
6339729,-7,179,-5,-70
6387648,-8,175,-4,-56
6435682,-7,166,-5,-53
6483751,-5,160,-4,-47
6531617,-9,151,-3,-47
6579677,-7,147,-4,-44
6627725,-6,141,-4,-40
6675537,-9,134,-2,-30
6723552,-8,126,-5,-27
6771615,-6,121,-3,-19
6819425,-5,116,-4,-18
6867354,-8,113,-5,-23
6915627,-10,105,-3,-19
6963770,-6,99,-4,-14
7011961,-8,92,-4,-11
7059960,-7,87,-6,-9
7107552,-8,82,-5,-8
7155781,-9,91,-5,-7
7203762,-8,84,-4,-8
7251617,-8,78,-5,0
7300128,-8,57,-5,-1
7347388,-7,53,-4,5
7395679,-7,56,-3,0
7443687,-7,49,-4,4
7491653,-7,57,-4,1
7539718,-7,42,-6,2
7587879,-6,42,-3,4
7635488,-7,39,-2,5
7683920,-8,33,-6,6
7731694,-7,33,-4,5
7779685,-4,27,-3,4
7827807,-9,25,-2,7
7875468,-5,25,-4,6
7923593,-8,24,-5,7
7971629,-6,17,-4,7
8019422,-8,7,-3,8
8067508,-6,0,-6,7
8115649,-7,0,-4,6
8163552,-7,0,-4,7
8211758,-10,0,-4,10
8259369,-6,0,-2,10
8307554,-8,-1,-4,8
8355528,-10,-1,-4,6
8403619,-8,0,-5,9
8451542,-9,0,-5,9
8499366,-8,-8,-4,9
8547436,-9,-11,-8,10
8595264,-8,-12,-6,13
8643459,-10,-26,-6,15
8691557,-7,-26,-3,17
8739582,-9,-28,-4,18
8787312,-7,-24,-6,22
8835415,-7,-38,-4,25
8883532,-9,-43,-4,24
8931473,-6,-40,-4,26
8979477,-7,-41,-3,29
9027615,-6,-35,-2,32
