Timestamp, Current1, Current2, Current3, Current4
1427384,-1,-2,-2,-4
1443543,-1,9,-2,-4
1459625,-1,8,-2,-4
1475587,-1,16,-2,-4
1491542,-1,42,-2,-4
1507514,-1,73,-2,-4
1523330,-1,75,-2,0
1539409,-1,97,-2,5
1555375,-1,119,-2,0
1572198,-1,136,-2,1
1588154,-1,148,-2,0
1603117,-1,158,-2,1
1619603,-1,175,-2,0
1635633,-1,192,-2,0
1651604,-1,199,-2,2
1667562,-1,218,-2,-1
1683391,-1,227,-2,-2
1699480,-1,241,-2,7
1715885,-1,262,-2,1
1731865,-1,275,-2,1
1747822,-1,307,-2,-1
1763682,-1,321,-2,3
1779643,-1,320,-2,3
1795602,-1,330,-2,5
1811687,-1,357,-2,8
1827558,-1,375,-2,0
1843475,-1,401,-2,1
1859553,-1,401,-2,0
1875515,-1,400,-2,10
1891474,-1,424,-2,1
1907430,-1,442,-2,5
1923259,-2,467,-2,2
1939265,-3,480,-2,2
1956170,-5,484,-2,1
1972127,-2,481,-2,1
1988084,-2,521,-2,2
2003046,-3,499,-2,4
2020006,-3,549,-2,0
2035961,-2,527,-2,13
2051924,-3,566,-2,6
2067870,-4,584,-2,10
2083826,-3,622,-2,3
2099858,-4,602,-2,9
2115839,-7,585,-2,4
2131802,-4,609,-2,0
2147790,-3,601,-2,3
2163624,-6,595,-2,7
2179574,-6,598,-2,0
2195530,-6,606,-2,1
2211489,-5,621,-2,1
2227582,-8,633,-2,9
2243410,-7,649,-2,6
2259492,-6,657,-2,8
2275450,-4,662,-2,12
2291402,-4,657,-2,7
2308229,-3,646,-2,1
2323191,-3,631,-2,9
2340144,-4,614,-2,8
2355146,-7,602,-2,4
2371059,-5,595,-2,6
2387017,-9,608,-2,8
2403377,-8,613,-2,1
2419464,-4,625,-2,10
2435417,-7,642,-2,4
2451398,-5,652,-2,7
2467690,-4,658,-2,9
2483559,-5,655,-2,5
2499605,-3,647,-2,8
2515567,-6,635,-2,3
2531392,-7,620,-2,10
2547477,-3,603,-2,7
2563313,-4,590,-2,5
2579395,-4,587,-2,5
2595225,-5,594,-2,6
2611182,-8,608,-2,4
2627191,-8,624,-2,5
2643095,-7,636,-2,2
2659196,-12,646,-2,10
2676006,-6,649,-2,7
2691968,-4,648,-2,7
2707920,-3,646,-2,10
2723879,-8,625,-2,13
2739840,-3,611,-2,11
2755818,-8,596,-2,6
2771028,-6,589,-2,1
2787287,-5,592,-2,5
2803338,-3,602,-2,2
2819578,-7,617,-2,7
2835562,-7,630,-2,12
2851657,-3,641,-2,8
2867600,-4,648,-2,11
2883442,-8,645,-2,12
2899518,-4,639,-2,8
2915473,-4,632,-2,5
2931083,-6,615,-2,4
2948041,-7,598,-2,8
2963999,-5,585,-2,8
2979701,-6,579,-2,6
2995655,-4,587,-2,2
3011530,-6,597,-2,6
3043401,-7,624,-2,11
3059400,-7,613,-2,9
3075436,-3,603,-2,12
3091406,-5,585,-2,12
3107357,-4,569,-2,9
3123184,-4,549,-2,8
3139266,-5,527,-2,11
3155229,-6,517,-2,5
3172054,-5,501,-2,8
3188012,-13,485,-2,9
3203969,-7,471,-2,11
3219931,-6,453,-2,9
3235291,-7,435,-2,9
3252119,-6,416,-2,15
3267745,-7,396,-2,10
3283600,-8,380,-2,13
3299686,-8,362,-2,15
3315644,-5,341,-2,3
3331602,-4,322,-2,5
3347566,-7,305,-2,8
3363390,-4,286,-2,7
3379345,-9,266,-2,4
3395302,-7,248,-2,9
3411520,-8,230,-2,6
3427478,-4,223,-2,12
3443437,-7,219,-2,9
3459517,-5,184,-2,4
3475471,-8,166,-2,-1
3491441,-3,157,-2,0
3507389,-4,159,-2,0
3523229,-7,161,-2,3
3539309,-6,144,-2,5
3555257,-5,127,-2,1
3571226,-8,108,-2,-3
3588045,-3,98,-2,-3
3603005,-1,93,-2,-2
3619960,-3,83,-2,-3
3635428,-2,75,-2,-3
3651388,-1,64,-2,-3
3667345,-3,51,-2,-3
3683177,-2,38,-2,-5
3699537,-1,25,-2,-3
3715338,-1,7,-2,-5
3731343,-1,11,-2,-3
3747380,-1,0,-2,-4
3763572,-1,0,-2,-7
3779587,-1,-2,-2,-10
3795499,-1,-1,-2,-7
3811450,-1,-3,-2,-5
3827407,-1,-19,-2,-10
3843373,-1,-16,-2,-9
3859442,-1,-12,-2,-7
3875411,-1,-14,-2,-8
3891362,-1,-16,-2,-7
3907317,-1,-17,-2,-6
3923151,-1,-25,-2,-6
3939238,-1,-20,-2,-7
3956062,-1,-18,-2,-8
3972018,-1,-23,-2,-7
3987974,-1,-31,-2,-7
4002936,-1,-30,-2,-6
4019531,-1,-33,-2,-7
4035618,-1,-29,-2,-7
4051579,-1,-32,-2,-7
4067543,-1,-31,-2,-5
4083373,-1,-31,-2,-5
4099454,-1,-32,-2,-6
4115414,-1,-34,-2,-9
4131371,-1,-33,-2,-7
4147328,-1,-35,-2,-6
4163645,-1,-35,-2,-6
4179795,-1,-34,-2,-6
4195738,-1,-35,-2,-5
4211722,-1,-35,-2,-6
4227654,-1,-33,-2,-7
4243611,-1,-35,-2,-7
4259665,-1,-35,-2,-5
4275655,-1,-35,-2,-6
4291603,-1,-35,-2,-6
4307445,-1,-35,-2,-9
4323397,-1,-35,-2,-5
4339491,-1,-35,-2,-5
4355313,-1,-35,-2,-8
4371271,-1,-35,-2,-6
4387340,-1,-35,-2,-7
4403184,-1,-35,-2,-6
4419269,-1,-36,-2,-6
4435229,-1,-35,-2,-6
4451055,-1,-36,-2,-9
4467119,-1,-35,-2,-6
4483505,-1,-34,-2,-6
4499585,-1,-35,-2,-7
4515547,-1,-35,-2,-6
4531514,-1,-36,-2,-5
4547457,-1,-27,-2,-6
4563301,-1,-36,-2,-8
4579379,-1,-31,-2,-8
4595210,-1,-28,-2,-5
4611165,-1,-26,-2,-6
4627122,-1,-28,-2,-6
