Timestamp, filtered
005455682,0.907199
005471678,-0.985141
005487642,-2.006572
005503683,-0.215026
005519685,-0.013228
005535689,-0.429219
005551673,-0.248837
005567667,4.642819
005583654,26.163340
005599646,42.485464
005615638,13.943429
005631658,-10.712007
005647695,-20.819099
005663639,-41.485567
005679686,-26.979837
005695657,-20.529824
005711649,-20.712619
005727636,-2.503213
005743698,-6.952057
005759643,-1.748481
005775657,2.844433
005791653,2.831796
005807649,8.245666
005823631,3.959978
005839707,7.391028
005855675,7.839662
005871620,6.882450
005887643,8.445796
005903652,6.725093
005919626,6.647248
005935785,5.954519
005951647,6.174290
005967636,6.845438
005983660,6.405663
005999637,2.777339
006015637,2.756417
006031636,2.649444
006047615,-0.412025
006063604,1.060927
006079625,0.585333
006095643,1.166095
006111607,1.511006
006127638,0.704583
006143599,-1.665474
006159616,-4.880754
006175917,-1.493228
006191621,-3.301460
006207595,-5.743163
006223628,-2.731791
006239624,-2.447323
006255619,-3.024585
006271621,-2.705548
006287643,-2.418020
006303634,-3.562531
006319619,-2.155585
006335629,-1.571495
006351601,-2.010397
006367650,0.070294
006383611,-1.138075
006399584,-1.326904
006415618,0.055721
006431570,-2.397170
006447581,-3.173157
006463601,-0.229987
006479588,0.518729
006495584,0.778615
006511624,1.388690
006527605,0.185912
006543596,2.083684
006559776,3.380145
006575643,0.488569
006591610,-1.170386
006607600,-0.531194
006623571,0.500970
006639589,1.491496
006655581,2.400776
006671588,0.207131
006687569,-2.125660
006703594,0.901928
006719585,3.088311
006735569,1.380329
006751588,0.135086
006767593,1.468552
006783575,2.640201
